restaurant_name,city,area,rating,cost_for_two,cuisine,discount,book_table,walkin_available
Coral,Mangalore-Tricity,"The Ocean Pearl, Mangalore",5.0,₹1400 for two,Multicuisine,Free Beverages + 25% Off,False,False
Lal Miri,Patna,"Bailey Road, Patna",4.3,₹600 for two,"Chinese, Indian",50% off,False,False
Cafe Zodiac,Patna,"Kankarbagh, Patna",3.5,₹1000 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
Afraa,Patna,"Lodipur, Patna",4.0,₹1200 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
The Sum Of Us,Patna,"Sri Krishna Puri, Patna",5.0,₹800 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Anandam Family Restaurant,Patna,"Fraser Road Area, Patna",4.0,₹600 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Cafe Hideout,Patna,"Patliputra Colony, Patna",4.5,₹800 for two,Multicuisine,Flat 40% + 25% with Bank Offers,False,False
Paradise The Barbeque,Patna,"Kankarbagh, Patna",4.0,₹1500 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Bikaner Elite,Patna,"Danapur, Patna",4.0,₹800 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
The Royal Jail Restro,Patna,"Kaliket Nagar, Patna",4.3,₹500 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
The Fifth Avenue,Patna,"Lodipur, Patna",5.0,₹1000 for two,Italian,50% off,False,False
Flavor Town,Patna,"Gola Road, Patna",4.9,₹700 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Karim's Ashiana- Digha,Patna,"Khajpura, Patna",3.9,₹400 for two,Mughlai,Flat 15% + 25% with Bank Offers,False,False
Café Amaayra- A Multi-Cuisine Kitchen,Patna,"Khajpura, Patna",4.7,₹1000 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Rasoi,Patna,"Mithapur, Patna",5.0,₹700 for two,Indian,Flat 10% + 25% with Bank Offers,False,False
The Grind House,Patna,"Kankarbagh, Patna",3.5,₹1000 for two,Multicuisine,Flat 40% + 25% with Bank Offers,False,False
ONE - N - ONLY (RESTAURANT - CAFE - STREET FOOD),Patna,"Bankman Colony, Patna",4.0,₹800 for two,"Chinese, Indian, Continental",Flat 25% + 25% with Bank Offers,False,False
Afra Tafri Cafe Restaurant,Patna,"Kidwaipuri, Patna",3.0,₹800 for two,"Indian, Chinese",Flat 15% + 25% with Bank Offers,False,False
Ghoomar Traditional Thali,Patna,"Raja Bazarr, Patna",4.2,₹1400 for two,Rajasthani,Flat 20% + 25% with Bank Offers,False,False
Moodlight Cafe,Patna,"Anandpuri, Patna",3.3,₹500 for two,"Multicuisine, Beverages",50% off,False,False
Cafe Skylite (Rooftop Lounge),Patna,"Silkhouse Premier Hotel, Patna",4.2,₹1000 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
Harilal's,Patna,"Sri Krishna Puri, Patna",5.0,₹400 for two,Indian,Flat 15% + 25% with Bank Offers,False,False
Kake - Da - Hotel,Patna,"Danapur, Patna",4.2,₹700 for two,Multicuisine,25% Off :Payeazy,False,False
Swaaddesh,Patna,"Boring Road, Patna",4.1,₹750 for two,Indian,Flat 15% + 25% with Bank Offers,False,False
Dosa (by Dakshin) Chilli Cafe,Patna,"Kankarbagh, Patna",4.0,₹800 for two,"South Indian, Multicuisine",Flat 20% + 25% with Bank Offers,False,False
Vasa Cafe & Lounge,Patna,"Boring Road, Patna",2.0,₹1000 for two,Multicuisine,Flat 40% + 25% with Bank Offers,False,False
Dine & Disc Restaurant,Patna,"Kidwaipuri, Patna",4.0,₹600 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Bihari Baithak,Patna,"Kaliket Nagar, Patna",4.4,₹800 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
The Atmos 3,Patna,"Sri Krishna Puri, Patna",4.0,₹1000 for two,Indian,50% off,False,False
Craft Coffee,Patna,"Lodipur, Patna",4.9,₹700 for two,"Cafe, Fast Food",Flat 25% + 25% with Bank Offers,False,False
Brewbites Cafe & Restaurant,Patna,"Kaliket Nagar, Patna",4.0,₹1000 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
The Downtown Cafe,Patna,"Kankarbagh, Patna",3.5,₹600 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Cafe the Cartel,Patna,"Lodipur, Patna",1.0,₹700 for two,Multicuisine,Flat 35% + 25% with Bank Offers,False,False
17 Degrees,Patna,P&M Mall,4.0,₹1200 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Infinity Cafe,Patna,"Lodipur, Patna",2.0,₹800 for two,Multicuisine,25% Off :Payeazy,False,False
LIGHTHOUSE CAFE,Patna,"Lodipur, Patna",4.2,₹1000 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Biryani by Kilo,Patna,Patna,4.5,₹700 for two,Biryani,Flat 15% + 25% with Bank Offers,False,False
Barkaas,Patna,"Fraser Road Area, Patna",4.7,₹1000 for two,Arabian,50% off,False,False
Fiesta By Barbeque Nation,Patna,"KP Mall, Patna",4.8,₹1600 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Namo Hotel,Patna,Patna,4.0,₹1000 for two,Multicuisine,25% Off :Payeazy,False,False
Baithke Bihari Cafe,Patna,"Boring Road, Patna",4.0,₹1000 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
Chilli Lime,Patna,"Bankman Colony, Patna",5.0,₹1000 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
The Delhi Story,Patna,"City Centre Mall, Patna",4.0,₹800 for two,"Chinese, Italian, Continental",Flat 20% + 25% with Bank Offers,False,False
Pind The Revolving,Patna,"Gandhi Maidan Rd, Patna",3.6,₹1000 for two,"Chinese, North Indian",Flat 15% + 25% with Bank Offers,False,False
Dhaba Estd 1986 Delhi,Patna,"Kidwaipuri, Patna",2.0,₹1200 for two,North Indian,Flat 15% + 25% with Bank Offers,False,False
Hotel President (Atithi Restaurant),Patna,"Lodipur, Patna",4.0,₹1000 for two,Indian,Flat 20% + 25% with Bank Offers,False,False
DVG Benne Dosa,Vadodara,"Bhayli, Vadodara",4.5,₹800 for two,South Indian,50% off,False,False
Cocco n Curry,Vadodara,"Bhayli, Vadodara",4.7,₹1000 for two,Multicuisine,25% Off :Payeazy,False,False
The Glass House Restaurant,Vadodara,"Eastin Hotels Residences, Vadodara",3.8,₹1200 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
Amaya,Vadodara,The Fern Residency Vadodara,4.2,₹1200 for two,Multicuisine,Flat 35% + 25% with Bank Offers,False,False
Deckers,Vadodara,Sunday Hotel Vadodara,5.0,₹1600 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
Myra,Vadodara,"Hotel Surya Ln, Vadodara",3.9,₹600 for two,Gujarati,Flat 25% + 25% with Bank Offers,False,False
Vega,Vadodara,"Hotel Surya Ln, Vadodara",4.2,₹750 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Citrus Cafe,Vadodara,"Lemon Tree Hotel, Vadodara",4.0,₹1200 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Just Rolls,Vadodara,"Sayajiganj, Vadodara",4.0,₹300 for two,Fast Food,Flat 25% + 25% with Bank Offers,False,False
Kansaar Gujarati Thali,Vadodara,"Hotel Apex International, Vadodara",5.0,₹600 for two,Gujarati,50% off,False,False
Parampara,Vadodara,"HOTEL YUVRAJ, Vadodara",3.0,₹1000 for two,North Indian,Flat 10% + 25% with Bank Offers,False,False
Cinnamon,Vadodara,"Sayajiganj, Vadodara",4.0,₹1500 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Arab Ino,Vadodara,"Sayajiganj, Vadodara",4.5,₹1500 for two,"Mughlai, Pasta",Flat 20% + 25% with Bank Offers,False,False
Goodies,Vadodara,"Sayajiganj, Vadodara",5.0,₹600 for two,Cafe,Flat 15% + 25% with Bank Offers,False,False
Pizza Nimos,Vadodara,"Sayajiganj, Vadodara",4.0,₹300 for two,Pizza,Flat 10% + 25% with Bank Offers,False,False
Trippy Bakes,Vadodara,"Sayajiganj, Vadodara",4.0,₹650 for two,Bakery,Flat 10% + 25% with Bank Offers,False,False
Cafe Local Patio,Vadodara,"Alkapuri, Vadodara",4.0,₹600 for two,Cafe,Flat 10% + 25% with Bank Offers,False,False
Western Restaurant,Vadodara,"Sayajiganj, Vadodara",4.7,₹1400 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
PVR,Vadodara,"Ved Transcube Plaza, Vadodara",4.0,₹500 for two,Fast Food,50% off,False,False
Teal Restaurant,Vadodara,"Fairfield by Marriott, Vadodara",3.5,₹1500 for two,"Indian, European",25% Off :Payeazy,False,False
Zeste,Vadodara,"The Fern - An Ecotel Hotel, Akota Vadodara",4.6,₹1000 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
The Cravings,Vadodara,"Sayaji Hotel, Vadodara",3.0,₹1000 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Tru Kitchen,Vadodara,"Akota, Vadodara",3.9,₹800 for two,"Fusion, Modern Indian",Flat 10% + 25% with Bank Offers,False,False
The House of Makeba,Vadodara,"Alkapuri, Vadodara",4.3,₹1400 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
The Chocolate Room,Vadodara,"Fatehgunj, Vadodara",4.6,₹500 for two,"Bakery, Desserts",Flat 20% + 25% with Bank Offers,False,False
Kala Ghoda Restaurant,Vadodara,"Effotel By Sayaji, Vadodara",4.5,₹1000 for two,Indian,Flat 35% + 25% with Bank Offers,False,False
Pizzawala's,Vadodara,"Sayajiganj, Vadodara",4.7,₹800 for two,Pizza,Flat 10% + 25% with Bank Offers,False,False
1944 The Hocco Kitchen,Vadodara,"Sayajiganj, Vadodara",4.0,₹600 for two,Continental,50% off,False,False
Kebabsville,Vadodara,"Sayaji Hotel, Vadodara",3.9,₹2000 for two,"Multicuisine, Barbeque",Flat 20% + 25% with Bank Offers,False,False
Best Western,Vadodara,"Alkapuri, Vadodara",3.0,₹1200 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
The Tandoor Junction,Vadodara,"Sayajiganj, Vadodara",4.0,₹500 for two,"Biryani, North Indian",Flat 50% + 25% with Bank Offers,False,False
Fat Stoned Pizzeria,Vadodara,"Sayajiganj, Vadodara",4.0,₹1100 for two,Pizza,Flat 20% + 25% with Bank Offers,False,False
In & Out Burgers,Vadodara,"Sayajiganj, Vadodara",4.0,₹300 for two,Burgers,Flat 20% + 25% with Bank Offers,False,False
Burger me up,Vadodara,"Sayajiganj, Vadodara",4.0,₹250 for two,Burgers,Flat 20% + 25% with Bank Offers,False,False
Momentt,Vadodara,"Enrise By Sayaji, Vadodara",4.0,₹1400 for two,North Indian,Flat 20% + 25% with Bank Offers,False,False
Ustad Miyaan,Vadodara,"Alkapuri, Vadodara",5.0,₹1000 for two,"Mughlai, North Indian",Flat 25% + 25% with Bank Offers,False,False
The China Wok,Vadodara,"Sayajiganj, Vadodara",1.0,₹300 for two,Chinese,50% off,False,False
Dilly's Veg Kitchen,Vadodara,"Gotri, Vadodara",4.7,₹1000 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Morsel,Vadodara,"Race Course Rd, Vadodara",4.4,₹1000 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
Just Got Baked,Vadodara,"Sayajiganj, Vadodara",4.0,₹500 for two,Desserts,Flat 25% + 25% with Bank Offers,False,False
Smash It Up - Smashed Burgers,Vadodara,"Sayajiganj, Vadodara",4.0,₹500 for two,Fast Food,Flat 10% + 25% with Bank Offers,False,False
The Classic Kitchen,Vadodara,"Sayajiganj, Vadodara",4.0,₹500 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Matka Biryani,Vadodara,"Sayajiganj, Vadodara",4.0,₹500 for two,Biryani,Flat 10% + 25% with Bank Offers,False,False
Hocco eatery,Vadodara,"Sayajiganj, Vadodara",4.0,₹800 for two,Fast Food,Flat 10% + 25% with Bank Offers,False,False
Hotel President Mezban,Vadodara,"President Hotel, Vadodara",4.0,₹1000 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
The Fisherman's Wharf,Mysuru,"Krishnamurthy Puram, Mysuru",3.8,₹2500 for two,"Cocktail Menu, Finger Food",50% off,False,False
Zoca - Veg Restaurant.,Mysuru,"Lakshmipuram, Mysuru",5.0,₹700 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Tashan,Mysuru,"Kuvempunagar , Mysuru",4.5,₹800 for two,North Indian,Flat 10% + 25% with Bank Offers,False,False
Pankhii Veg Restaurant,Mysuru,"Lakshmipuram, Mysuru",4.9,₹800 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Amber,Mysuru,"Lakshmipuram, Mysuru",5.0,₹2500 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Turmeric Kitchen,Mysuru,"Hotel Airlines, Mysuru",4.2,₹800 for two,Indian,Flat 10% + 25% with Bank Offers,False,False
Heritage Hashtag Cafe,Mysuru,"Lakshmipuram, Mysuru",5.0,₹800 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
The Glass house,Mysuru,"Lakshmipuram, Mysuru",4.0,₹500 for two,"Finger Food, Ice Cream",Flat 10% + 25% with Bank Offers,False,False
The Wadeyar's Cafe,Mysuru,"Kuvempunagar , Mysuru",4.0,₹300 for two,Cafe,Flat 10% + 25% with Bank Offers,False,False
Hari Govindas,Mysuru,"Chamrajpura, Mysuru",5.0,₹600 for two,Indian,50% off,False,False
The Firangi Sutra,Mysuru,"Vinayakanagara, Mysuru",4.8,₹600 for two,"Cafe, Fast Food",25% Off :Payeazy,False,False
Salt Restaurant,Mysuru,"Lakshmipuram, Mysuru",5.0,₹800 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Sitara Cafe,Mysuru,"Lakshmipuram, Mysuru",4.0,₹800 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Poojari Fishland,Mysuru,"KR Mohalla, Mysuru",4.0,₹800 for two,Mangalorean,Flat 10% + 25% with Bank Offers,False,False
Infinit Rooftop Restaurant,Mysuru,"Doora, Mysuru",4.0,₹500 for two,Multicuisine,25% Off :Payeazy,False,False
Be cafe,Mysuru,"Saraswathipuram, Mysuru",4.0,₹600 for two,Fast Food,Flat 25% + 25% with Bank Offers,False,False
The Tiffany's House,Mysuru,"Saraswathipuram, Mysuru",4.0,₹600 for two,Fast Food,Flat 10% + 25% with Bank Offers,False,False
Zest,Mysuru,"Kajjihundi, Mysore",3.2,₹2500 for two,Multicuisine,25% Off :Payeazy,False,False
Keralapura Military Hotel,Mysuru,"K.G Koppal, Mysuru",4.0,₹500 for two,"Kerala, South Indian",50% off,False,False
Cafe De Aroma,Mysuru,"Kuvempunagar , Mysuru",4.0,₹800 for two,Multicuisine,25% Off :Payeazy,False,False
Hotel Chakravarthy,Mysuru,"Chamrajpura, Mysuru",4.0,₹500 for two,Indian,25% Off :Payeazy,False,False
Havana,Mysuru,"Saraswathipuram, Mysuru",4.6,₹700 for two,Multicuisine,25% Off :Payeazy,False,False
Javaji Mixx,Mysuru,"Regenta Central Javaji, Mysuru",3.4,₹1500 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Aire,Mysuru,"Regenta Central Javaji, Mysuru",5.0,₹2500 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
Aaina,Mysuru,"Bimba Hotels, Mysuru",4.7,₹1000 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
High Tea - Royal Orchid Metropole,Mysuru,"Royal Orchid Metropole, Mysore",4.0,₹900 for two,Cafe,Flat 10% + 25% with Bank Offers,False,False
Barista Coffee,Mysuru,"Jayalakshmipuram, Mysuru",4.0,₹500 for two,Cafe,Flat 25% + 25% with Bank Offers,False,False
Highpark Revolving Restaurant,Mysuru,"Chamrajpura, Mysuru",4.8,₹1000 for two,Multicuisine,50% off,False,False
Verve,Mysuru,"Regenta Central Javaji, Mysuru",4.7,₹2500 for two,Multicuisine,25% Off :Payeazy,False,False
Gufha,Mysuru,"Doora, Mysuru",4.0,₹2500 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Kudla Fish Land,Mysuru,"Chamrajpura, Mysuru",5.0,₹2500 for two,"Continental, American",25% Off :Payeazy,False,False
W Coffee Kitchen & Patisseries,Mysuru,"Yadavgiri, Mysore",5.0,₹800 for two,"Bakery, Cafe",Flat 25% + 25% with Bank Offers,False,False
Uchiha,Mysuru,"Kuvempunagar , Mysuru",5.0,₹1000 for two,"Indian, Pan Asian",25% Off :Payeazy,False,False
Beer Tapper By Toms,Mysuru,"Gangothri Layout, Mysuru",1.0,₹600 for two,"Finger Food, Cocktail Menu",Flat 10% + 25% with Bank Offers,False,False
Shikari Bar-Be-Que,Mysuru,"Royal Orchid Metropole, Mysore",4.0,₹3000 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Haveli,Mysuru,"Chamrajpura, Mysuru",4.5,₹1000 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
The Cafe,Mysuru,"The Quorum Hotel, Mysuru",4.3,₹2500 for two,Multicuisine,50% off,False,False
Andhara Ruchulu,Mysuru,"Bangalore Nilgiri Road, Mysuru",4.3,₹2500 for two,Andhra,Flat 25% + 25% with Bank Offers,False,False
Tiger Trail,Mysuru,"Royal Orchid Metropole, Mysore",2.9,₹3000 for two,Multicuisine,25% Off :Payeazy,False,False
Kapoor's Cafe,Mysuru,"Jayalakshmipuram, Mysuru",4.0,₹600 for two,North Indian,Flat 25% + 25% with Bank Offers,False,False
Soko By House Of Commons,Mysuru,"JC Nagar, Mysuru",3.0,₹1500 for two,Multicuisine,Free Beverages + 25% Off,False,False
Sattvik - Rooftop Cafe,Mysuru,"KR Mohalla, Mysuru",5.0,₹800 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
The Moon Hub,Mysuru,"Kukkarahalli Lake, Mysuru",4.0,₹800 for two,Chinese,25% Off :Payeazy,False,False
Lounge Bar,Mysuru,Southern Star Mysore,4.0,₹1500 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
The Indian Curry House,Mysuru,"Chamrajpura, Mysuru",5.0,₹1500 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Hooch - The House Of Cocktails,Amritsar,"Ranjit Avenue, Amritsar",4.0,₹1000 for two,Multicuisine,50% off,False,False
Ranjit's,Amritsar,"Hotel Ritz Plaza, Amritsar",4.0,₹1300 for two,Multicuisine,Flat 45% + 25% with Bank Offers,False,False
Crystal  Restaurant Plaza,Amritsar,"INA Colony,, Amritsar",2.5,₹1200 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Polaris,Amritsar,"Hotel Ritz Plaza, Amritsar",4.0,₹1400 for two,"Finger Food, Cocktail Menu",Flat 30% + 25% with Bank Offers,False,False
Golden Gate By Kumars,Amritsar,"Hotel Kumar elite, Amritsar",5.0,₹600 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
365 - All Day Dining,Amritsar,Sarovar Premiere Amritsar,4.0,₹2000 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Krsko,Amritsar,"White Avenue, Amritsar",5.0,₹1200 for two,Multicuisine,Flat 40% + 25% with Bank Offers,False,False
Tikka Trail,Amritsar,"TreeHouse Stamp, Amritsar",4.0,₹1500 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Housewood Villas,Amritsar,"Ranjit Avenue, Amritsar",5.0,₹2000 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
Kava Grill & Lounge,Amritsar,"Fairfield by Marriott, Amritsar",4.0,₹1200 for two,Multicuisine,50% off,False,False
The Muse,Amritsar,"The Earth Amritsar - Trademark Collection By Wyndham, Amritsar",4.0,₹2200 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
The Lutyens,Amritsar,"The Earth Amritsar - Trademark Collection By Wyndham, Amritsar",3.0,₹1400 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Chef's Theory,Amritsar,"White Avenue, Amritsar",4.3,₹1500 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
BHK- Brick House Kitchen,Amritsar,"Ranjit Avenue, Amritsar",3.0,₹800 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
Sanjha Chulha,Amritsar,"Lawrence Road, Amritsar",4.5,₹1000 for two,Indian,Flat 10% + 25% with Bank Offers,False,False
Amritsari Haveli,Amritsar,"Ranjit Avenue, Amritsar",3.2,₹1400 for two,"North Indian, Punjabi",Flat 10% + 25% with Bank Offers,False,False
Oak Bar,Amritsar,Four Points by Sheraton Amritsar,4.0,₹3000 for two,"Finger Food, Cocktail Menu",Flat 40% + 25% with Bank Offers,False,False
Vooom Gaming Zone,Amritsar,"Mall Road, Amritsar",4.0,₹700 for two,Fast Food,Flat 10% + 25% with Bank Offers,False,False
Pardeco Coffee Roasters,Amritsar,"Ranjit Avenue, Amritsar",4.0,₹500 for two,Cafe,50% off,False,False
Tan Chi,Amritsar,Four Points by Sheraton Amritsar,4.0,₹2500 for two,Pan Asian,Flat 15% + 25% with Bank Offers,False,False
Lobby Lounge - Four Points By Sheraton,Amritsar,Four Points by Sheraton Amritsar,4.0,₹1500 for two,Cafe,Flat 10% + 25% with Bank Offers,False,False
Oasis Baklawa,Amritsar,"Mall Road, Amritsar",4.0,₹300 for two,Desserts,Flat 50% + 25% with Bank Offers,False,False
Zoreko,Amritsar,"Lawrence Road, Amritsar",4.4,₹1200 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
EatAsia,Amritsar,"Ranjit Avenue, Amritsar",5.0,₹1000 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Nectar By HK Clarks Inn,Amritsar,"Ranjit Avenue, Amritsar",4.0,₹1500 for two,"Cocktail Menu, Finger Food",Flat 10% + 25% with Bank Offers,False,False
Bratty's,Amritsar,"Lawrence Road, Amritsar",5.0,₹600 for two,Fast Food,Flat 30% + 25% with Bank Offers,False,False
Kitchen 1574,Amritsar,Four Points by Sheraton Amritsar,4.0,₹2000 for two,"Continental, Asian, Indian",Flat 10% + 25% with Bank Offers,False,False
Sky Rooftop,Amritsar,"Quality Inn Elite, Amritsar",4.0,₹1000 for two,Multicuisine,50% off,False,False
Cafe Blusalzz,Amritsar,"BluSalzz Residence Amritsar, Amritsar",5.0,₹1800 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Kake Da Hotel,Amritsar,"Ranjit Avenue, Amritsar",4.0,₹1000 for two,Indian,Flat 25% + 25% with Bank Offers,False,False
Barista Coffee,Amritsar,"Summer Palace, Amritsar",4.0,₹500 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
SGF- Tree House Stamp,Amritsar,"TreeHouse Stamp, Amritsar",4.0,₹800 for two,Fast Food,25% Off :Payeazy,False,False
Shosha - Sarovar Portico,Amritsar,"Golden Sarovar Portico, Amritsar",5.0,₹1200 for two,Multicuisine,25% Off :Payeazy,False,False
Mabels,Amritsar,"Ranjit Avenue, Amritsar",4.8,₹1500 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
Olive 97,Amritsar,"Ranjit Avenue, Amritsar",3.8,₹1200 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
Taal,Amritsar,"M K Hotel, Amritsar",1.0,₹1900 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
True Blend Modern Coffee,Amritsar,"Ranjit Avenue, Amritsar",4.0,₹1000 for two,Cafe,50% off,False,False
The Machhiwala,Amritsar,"Green Avenue, Amritsar",5.0,₹1400 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Soho - Best Western Merrion,Amritsar,"Best Western Merrion, Amritsar",4.0,₹1400 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
TGI Friday's,Amritsar,"Ranjit Avenue, Amritsar",5.0,₹1500 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Blink,Amritsar,"Ranjit Avenue, Amritsar",3.8,₹1500 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Coffee in Hand,Amritsar,"Ranjit Avenue, Amritsar",4.0,₹800 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Tepah By The Bagh,Amritsar,"Ranjit Avenue, Amritsar",4.0,₹1500 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Diago | Roof Top Restaurant and Bar,Amritsar,"Ranjit Avenue, Amritsar",5.0,₹1700 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Dynasty,Amritsar,"M K Hotel, Amritsar",4.0,₹1900 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Latest Recipe,Kochi,"Le Meridien, Kochi",4.8,₹2000 for two,Multicuisine,50% off,False,False
Kochi Kitchen,Kochi,"Marriott, Kochi",4.3,₹1900 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
Punjab Grill,Kochi,"Forum mall, Kochi",4.7,₹1400 for two,North Indian,Flat 35% + 25% with Bank Offers,False,False
Lila's Kitchen,Kochi,"Port Muziris, a Tribute Portfolio Hotel, Kochi",4.0,₹1500 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Kyra,Kochi,"Vennala, Kochi",4.0,₹2000 for two,"Greek, Persian, Turkish",Flat 30% + 25% with Bank Offers,False,False
Mosaic,Kochi,"Crowne Plaza, Kochi",4.3,₹1450 for two,Multicuisine,25% Off :Payeazy,False,False
Roastown Global Grill,Kochi,"Edappally, Kochi",4.4,₹1000 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
You Mee,Kochi,"Forum mall, Kochi",4.6,₹1500 for two,Pan Asian,Flat 10% + 25% with Bank Offers,False,False
Cassava,Kochi,"Marriott, Kochi",3.8,₹2000 for two,"South Indian, Kerala",Flat 15% + 25% with Bank Offers,False,False
Malabar Cafe,Kochi,Grand Hyatt Kochi Bolgatty,4.7,₹2400 for two,Kerala,50% off,False,False
Thai Soul,Kochi,Grand Hyatt Kochi Bolgatty,4.7,₹2200 for two,Thai,Flat 20% + 25% with Bank Offers,False,False
Artiste The Restaurant by Marriott Bonvoy,Kochi,"The Artiste, Kochi",4.0,₹1800 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
The square,Kochi,"Novotel Kochi Infopark, Kakkanad",2.0,₹2500 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
The Eatery,Kochi,"Four Points by Sheraton, Kochi",4.6,₹1600 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
Masala,Kochi,"Holiday Inn Cochin, Kochi",4.3,₹2500 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
Hoy Momo,Kochi,"Edappally, Kochi",3.6,₹700 for two,Asian,Flat 25% + 25% with Bank Offers,False,False
All Spice,Kochi,"Four Points by Sheraton, Kochi",4.5,₹2000 for two,Indian,Flat 25% + 25% with Bank Offers,False,False
Chopstix,Kochi,"Kakkanad, Kochi",4.6,₹700 for two,Pan Asian,Flat 30% + 25% with Bank Offers,False,False
Caper,Kochi,"Four Points by Sheraton, Kochi",4.0,₹2600 for two,Finger Food,50% off,False,False
Keshia,Kochi,Radisson Blu Kochi,4.4,₹1500 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Big Mouth BBQ & Grill,Kochi,"Kakkanad, Kochi",4.7,₹1000 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
The Pavilion,Kochi,The Renai Cochin,4.2,₹1300 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
