restaurant_name,city,area,rating,cost_for_two_in_rupees,cuisine,discount,book_table,walkin_available
Smash It Up - Smashed Burgers,Vadodara,"Sayajiganj, Vadodara",4.0,500.0,Fast Food,10,False,False
The Classic Kitchen,Vadodara,"Sayajiganj, Vadodara",4.0,500.0,Multicuisine,10,False,False
Matka Biryani,Vadodara,"Sayajiganj, Vadodara",4.0,500.0,Biryani,10,False,False
Hocco eatery,Vadodara,"Sayajiganj, Vadodara",4.0,800.0,Fast Food,10,False,False
Hotel President Mezban,Vadodara,"President Hotel, Vadodara",4.0,1000.0,Multicuisine,10,False,False
The Fisherman's Wharf,Mysuru,"Krishnamurthy Puram, Mysuru",3.8,2500.0,"Cocktail Menu, Finger Food",50,False,False
Zoca - Veg Restaurant.,Mysuru,"Lakshmipuram, Mysuru",5.0,700.0,Multicuisine,10,False,False
Tashan,Mysuru,"Kuvempunagar , Mysuru",4.5,800.0,North Indian,10,False,False
Pankhii Veg Restaurant,Mysuru,"Lakshmipuram, Mysuru",4.9,800.0,Multicuisine,15,False,False
Amber,Mysuru,"Lakshmipuram, Mysuru",5.0,2500.0,Multicuisine,10,False,False
Turmeric Kitchen,Mysuru,"Hotel Airlines, Mysuru",4.2,800.0,Indian,10,False,False
Heritage Hashtag Cafe,Mysuru,"Lakshmipuram, Mysuru",5.0,800.0,Multicuisine,10,False,False
The Glass house,Mysuru,"Lakshmipuram, Mysuru",4.0,500.0,"Finger Food, Ice Cream",10,False,False
The Wadeyar's Cafe,Mysuru,"Kuvempunagar , Mysuru",4.0,300.0,Cafe,10,False,False
Hari Govindas,Mysuru,"Chamrajpura, Mysuru",5.0,600.0,Indian,50,False,False
The Firangi Sutra,Mysuru,"Vinayakanagara, Mysuru",4.8,600.0,"Cafe, Fast Food",25,False,False
Salt Restaurant,Mysuru,"Lakshmipuram, Mysuru",5.0,800.0,Multicuisine,25,False,False
Sitara Cafe,Mysuru,"Lakshmipuram, Mysuru",4.0,800.0,Multicuisine,10,False,False
Poojari Fishland,Mysuru,"KR Mohalla, Mysuru",4.0,800.0,Mangalorean,10,False,False
Infinit Rooftop Restaurant,Mysuru,"Doora, Mysuru",4.0,500.0,Multicuisine,25,False,False
Be cafe,Mysuru,"Saraswathipuram, Mysuru",4.0,600.0,Fast Food,25,False,False
The Tiffany's House,Mysuru,"Saraswathipuram, Mysuru",4.0,600.0,Fast Food,10,False,False
Zest,Mysuru,"Kajjihundi, Mysore",3.2,2500.0,Multicuisine,25,False,False
Keralapura Military Hotel,Mysuru,"K.G Koppal, Mysuru",4.0,500.0,"Kerala, South Indian",50,False,False
Cafe De Aroma,Mysuru,"Kuvempunagar , Mysuru",4.0,800.0,Multicuisine,25,False,False
Hotel Chakravarthy,Mysuru,"Chamrajpura, Mysuru",4.0,500.0,Indian,25,False,False
Havana,Mysuru,"Saraswathipuram, Mysuru",4.6,700.0,Multicuisine,25,False,False
Javaji Mixx,Mysuru,"Regenta Central Javaji, Mysuru",3.4,1500.0,Multicuisine,20,False,False
Aire,Mysuru,"Regenta Central Javaji, Mysuru",5.0,2500.0,Multicuisine,30,False,False
Aaina,Mysuru,"Bimba Hotels, Mysuru",4.7,1000.0,Multicuisine,20,False,False
High Tea - Royal Orchid Metropole,Mysuru,"Royal Orchid Metropole, Mysore",4.0,900.0,Cafe,10,False,False
Barista Coffee,Mysuru,"Jayalakshmipuram, Mysuru",4.0,500.0,Cafe,25,False,False
Highpark Revolving Restaurant,Mysuru,"Chamrajpura, Mysuru",4.8,1000.0,Multicuisine,50,False,False
Verve,Mysuru,"Regenta Central Javaji, Mysuru",4.7,2500.0,Multicuisine,25,False,False
Gufha,Mysuru,"Doora, Mysuru",4.0,2500.0,Multicuisine,25,False,False
Kudla Fish Land,Mysuru,"Chamrajpura, Mysuru",5.0,2500.0,"Continental, American",25,False,False
W Coffee Kitchen & Patisseries,Mysuru,"Yadavgiri, Mysore",5.0,800.0,"Bakery, Cafe",25,False,False
Uchiha,Mysuru,"Kuvempunagar , Mysuru",5.0,1000.0,"Indian, Pan Asian",25,False,False
Beer Tapper By Toms,Mysuru,"Gangothri Layout, Mysuru",1.0,600.0,"Finger Food, Cocktail Menu",10,False,False
Shikari Bar-Be-Que,Mysuru,"Royal Orchid Metropole, Mysore",4.0,3000.0,Multicuisine,20,False,False
Haveli,Mysuru,"Chamrajpura, Mysuru",4.5,1000.0,Multicuisine,25,False,False
The Cafe,Mysuru,"The Quorum Hotel, Mysuru",4.3,2500.0,Multicuisine,50,False,False
Andhara Ruchulu,Mysuru,"Bangalore Nilgiri Road, Mysuru",4.3,2500.0,Andhra,25,False,False
Tiger Trail,Mysuru,"Royal Orchid Metropole, Mysore",2.9,3000.0,Multicuisine,25,False,False
Kapoor's Cafe,Mysuru,"Jayalakshmipuram, Mysuru",4.0,600.0,North Indian,25,False,False
Soko By House Of Commons,Mysuru,"JC Nagar, Mysuru",3.0,1500.0,Multicuisine,25,False,False
Sattvik - Rooftop Cafe,Mysuru,"KR Mohalla, Mysuru",5.0,800.0,Multicuisine,10,False,False
The Moon Hub,Mysuru,"Kukkarahalli Lake, Mysuru",4.0,800.0,Chinese,25,False,False
Lounge Bar,Mysuru,Southern Star Mysore,4.0,1500.0,Multicuisine,10,False,False
The Indian Curry House,Mysuru,"Chamrajpura, Mysuru",5.0,1500.0,Multicuisine,10,False,False
Hooch - The House Of Cocktails,Amritsar,"Ranjit Avenue, Amritsar",4.0,1000.0,Multicuisine,50,False,False
Ranjit's,Amritsar,"Hotel Ritz Plaza, Amritsar",4.0,1300.0,Multicuisine,45,False,False
Crystal  Restaurant Plaza,Amritsar,"INA Colony,, Amritsar",2.5,1200.0,Multicuisine,10,False,False
Polaris,Amritsar,"Hotel Ritz Plaza, Amritsar",4.0,1400.0,"Finger Food, Cocktail Menu",30,False,False
Golden Gate By Kumars,Amritsar,"Hotel Kumar elite, Amritsar",5.0,600.0,Multicuisine,10,False,False
365 - All Day Dining,Amritsar,Sarovar Premiere Amritsar,4.0,2000.0,Multicuisine,20,False,False
Krsko,Amritsar,"White Avenue, Amritsar",5.0,1200.0,Multicuisine,40,False,False
Tikka Trail,Amritsar,"TreeHouse Stamp, Amritsar",4.0,1500.0,Multicuisine,10,False,False
Housewood Villas,Amritsar,"Ranjit Avenue, Amritsar",5.0,2000.0,Multicuisine,50,False,False
Kava Grill & Lounge,Amritsar,"Fairfield by Marriott, Amritsar",4.0,1200.0,Multicuisine,50,False,False
The Muse,Amritsar,"The Earth Amritsar - Trademark Collection By Wyndham, Amritsar",4.0,2200.0,Multicuisine,50,False,False
The Lutyens,Amritsar,"The Earth Amritsar - Trademark Collection By Wyndham, Amritsar",3.0,1400.0,Multicuisine,25,False,False
Chef's Theory,Amritsar,"White Avenue, Amritsar",4.3,1500.0,Multicuisine,25,False,False
BHK- Brick House Kitchen,Amritsar,"Ranjit Avenue, Amritsar",3.0,800.0,Multicuisine,50,False,False
Sanjha Chulha,Amritsar,"Lawrence Road, Amritsar",4.5,1000.0,Indian,10,False,False
Amritsari Haveli,Amritsar,"Ranjit Avenue, Amritsar",3.2,1400.0,"North Indian, Punjabi",10,False,False
Oak Bar,Amritsar,Four Points by Sheraton Amritsar,4.0,3000.0,"Finger Food, Cocktail Menu",40,False,False
Vooom Gaming Zone,Amritsar,"Mall Road, Amritsar",4.0,700.0,Fast Food,10,False,False
Pardeco Coffee Roasters,Amritsar,"Ranjit Avenue, Amritsar",4.0,500.0,Cafe,50,False,False
Tan Chi,Amritsar,Four Points by Sheraton Amritsar,4.0,2500.0,Pan Asian,15,False,False
Lobby Lounge - Four Points By Sheraton,Amritsar,Four Points by Sheraton Amritsar,4.0,1500.0,Cafe,10,False,False
Oasis Baklawa,Amritsar,"Mall Road, Amritsar",4.0,300.0,Desserts,50,False,False
Zoreko,Amritsar,"Lawrence Road, Amritsar",4.4,1200.0,Multicuisine,10,False,False
EatAsia,Amritsar,"Ranjit Avenue, Amritsar",5.0,1000.0,Multicuisine,20,False,False
Nectar By HK Clarks Inn,Amritsar,"Ranjit Avenue, Amritsar",4.0,1500.0,"Cocktail Menu, Finger Food",10,False,False
Bratty's,Amritsar,"Lawrence Road, Amritsar",5.0,600.0,Fast Food,30,False,False
Kitchen 1574,Amritsar,Four Points by Sheraton Amritsar,4.0,2000.0,"Continental, Asian, Indian",10,False,False
Sky Rooftop,Amritsar,"Quality Inn Elite, Amritsar",4.0,1000.0,Multicuisine,50,False,False
Cafe Blusalzz,Amritsar,"BluSalzz Residence Amritsar, Amritsar",5.0,1800.0,Multicuisine,10,False,False
Kake Da Hotel,Amritsar,"Ranjit Avenue, Amritsar",4.0,1000.0,Indian,25,False,False
Barista Coffee,Amritsar,"Summer Palace, Amritsar",4.0,500.0,Multicuisine,15,False,False
SGF- Tree House Stamp,Amritsar,"TreeHouse Stamp, Amritsar",4.0,800.0,Fast Food,25,False,False
Shosha - Sarovar Portico,Amritsar,"Golden Sarovar Portico, Amritsar",5.0,1200.0,Multicuisine,25,False,False
Mabels,Amritsar,"Ranjit Avenue, Amritsar",4.8,1500.0,Multicuisine,30,False,False
Olive 97,Amritsar,"Ranjit Avenue, Amritsar",3.8,1200.0,Multicuisine,30,False,False
Taal,Amritsar,"M K Hotel, Amritsar",1.0,1900.0,Multicuisine,10,False,False
True Blend Modern Coffee,Amritsar,"Ranjit Avenue, Amritsar",4.0,1000.0,Cafe,50,False,False
The Machhiwala,Amritsar,"Green Avenue, Amritsar",5.0,1400.0,Multicuisine,10,False,False
Soho - Best Western Merrion,Amritsar,"Best Western Merrion, Amritsar",4.0,1400.0,Multicuisine,15,False,False
TGI Friday's,Amritsar,"Ranjit Avenue, Amritsar",5.0,1500.0,Multicuisine,20,False,False
Blink,Amritsar,"Ranjit Avenue, Amritsar",3.8,1500.0,Multicuisine,10,False,False
Coffee in Hand,Amritsar,"Ranjit Avenue, Amritsar",4.0,800.0,Multicuisine,15,False,False
Tepah By The Bagh,Amritsar,"Ranjit Avenue, Amritsar",4.0,1500.0,Multicuisine,10,False,False
Diago | Roof Top Restaurant and Bar,Amritsar,"Ranjit Avenue, Amritsar",5.0,1700.0,Multicuisine,10,False,False
Dynasty,Amritsar,"M K Hotel, Amritsar",4.0,1900.0,Multicuisine,20,False,False
Latest Recipe,Kochi,"Le Meridien, Kochi",4.8,2000.0,Multicuisine,50,False,False
Kochi Kitchen,Kochi,"Marriott, Kochi",4.3,1900.0,Multicuisine,30,False,False
Punjab Grill,Kochi,"Forum mall, Kochi",4.7,1400.0,North Indian,35,False,False
Lila's Kitchen,Kochi,"Port Muziris, a Tribute Portfolio Hotel, Kochi",4.0,1500.0,Multicuisine,25,False,False
Kyra,Kochi,"Vennala, Kochi",4.0,2000.0,"Greek, Persian, Turkish",30,False,False
Mosaic,Kochi,"Crowne Plaza, Kochi",4.3,1450.0,Multicuisine,25,False,False
Roastown Global Grill,Kochi,"Edappally, Kochi",4.4,1000.0,Multicuisine,30,False,False
You Mee,Kochi,"Forum mall, Kochi",4.6,1500.0,Pan Asian,10,False,False
Cassava,Kochi,"Marriott, Kochi",3.8,2000.0,"South Indian, Kerala",15,False,False
Malabar Cafe,Kochi,Grand Hyatt Kochi Bolgatty,4.7,2400.0,Kerala,50,False,False
Thai Soul,Kochi,Grand Hyatt Kochi Bolgatty,4.7,2200.0,Thai,20,False,False
Artiste The Restaurant by Marriott Bonvoy,Kochi,"The Artiste, Kochi",4.0,1800.0,Multicuisine,20,False,False
The square,Kochi,"Novotel Kochi Infopark, Kakkanad",2.0,2500.0,Multicuisine,25,False,False
The Eatery,Kochi,"Four Points by Sheraton, Kochi",4.6,1600.0,Multicuisine,50,False,False
Masala,Kochi,"Holiday Inn Cochin, Kochi",4.3,2500.0,Multicuisine,50,False,False
Hoy Momo,Kochi,"Edappally, Kochi",3.6,700.0,Asian,25,False,False
All Spice,Kochi,"Four Points by Sheraton, Kochi",4.5,2000.0,Indian,25,False,False
Chopstix,Kochi,"Kakkanad, Kochi",4.6,700.0,Pan Asian,30,False,False
Caper,Kochi,"Four Points by Sheraton, Kochi",4.0,2600.0,Finger Food,50,False,False
Keshia,Kochi,Radisson Blu Kochi,4.4,1500.0,Multicuisine,25,False,False
Big Mouth BBQ & Grill,Kochi,"Kakkanad, Kochi",4.7,1000.0,Multicuisine,25,False,False
The Pavilion,Kochi,The Renai Cochin,4.2,1300.0,Multicuisine,10,False,False
The Grillax,Kochi,"Perumbavoor, Kochi",5.0,600.0,Multicuisine,20,False,False
Ceylon Bake House,Kochi,"Ernakulam South, Kochi",5.0,1000.0,Indian,10,False,False
Ciao Cochin,Kochi,"Holiday Inn Cochin, Kochi",4.4,1500.0,Italian,10,False,False
Nagas,Kochi,"Kakkanad, Kochi",4.0,1000.0,"Andhra, Hyderabadi",25,False,False
Hoy Punjab,Kochi,"Edappally, Kochi",4.3,1300.0,North Indian,25,False,False
Dindigul Thalappakatti,Kochi,"Kalamassery, Kochi",5.0,950.0,Biryani,50,False,False
Kubaba Kuzhimandhi,Kochi,"Edappally, Kochi",4.3,900.0,"Mandi, Arabian",25,False,False
East India Street Café,Kochi,"Panampilly Nagar, Kochi",4.0,600.0,Western,25,False,False
Areena Bar,Kochi,"Olive Downtown, Kochi",4.0,1000.0,Finger Food,10,False,False
Pandhal Cafe & Deli,Kochi,"Fort, Kochi",4.5,800.0,Bakery,20,False,False
Cafe Moon By Sol Kitchen,Kochi,"Vyttila, Kochi",5.0,500.0,Multicuisine,25,False,False
The Oven,Kochi,"Durbar Hall Road, Ernakulam, Kochi",4.8,600.0,Multicuisine,10,False,False
Let's Dine Riverview,Kochi,"Kakkanad, Kochi",4.5,900.0,Multicuisine,25,False,False
Bektash,Kochi,Nettoor,4.3,400.0,Arabian,25,False,False
Aah,Kochi,The Postcard Mandalay Hall,4.0,1800.0,Kerala,50,False,False
Noorjehan Multi-Cuisine Restaurant,Kochi,"Aluva, Kochi",4.6,1000.0,Multicuisine,25,False,False
Talk of the Town,Kochi,"Palarivattom, Kochi",4.0,550.0,Multicuisine,25,False,False
Chopstix Signature,Kochi,"Panampilly Nagar, Kochi",4.5,700.0,"Thai, Chinese",15,False,False
Kannimango,Kochi,"Kadavanthra, Kochi",3.5,900.0,Kerala,10,False,False
Al Taza,Kochi,"Edappally, Kochi",4.7,400.0,Lebanese,25,False,False
Pavillion Restaurant By Abad Fort,Kochi,"Hotel Abad Fort, Kochi",4.0,1000.0,Multicuisine,25,False,False
The Muze - The rooftop pool bar by Port Muziris,Kochi,"Port Muziris, a Tribute Portfolio Hotel, Kochi",4.0,1500.0,"Finger Food, Cocktail Menu",15,False,False
Spice It,Kochi,"ibis Kochi City Centre, Kochi",3.7,2478.0,Multicuisine,20,False,False
Aqua,Bhubaneswar,"Hotel Swosti, Bhubaneswar",4.7,1200.0,"North Indian, Seafood, Continental",50,False,False
Terra Rosso,Bhubaneswar,"Kharvela Nagar, Bhubaneswar",5.0,1100.0,Multicuisine,15,False,False
BOCCA CAFE,Bhubaneswar,"Kharvela Nagar, Bhubaneswar",4.5,600.0,"Beverages, Cafe, Coffee and Tea",25,False,False
Wow! Momo,Bhubaneswar,"Master Canteen Area, Bhubaneswar",4.7,400.0,Momos,25,False,False
Oceana,Bhubaneswar,"Hotel Swosti, Bhubaneswar",3.0,1200.0,"Chinese, Finger Food, North Indian",15,False,False
Brown n Cream,Bhubaneswar,"Hotel Swosti, Bhubaneswar",5.0,400.0,Bakery,10,False,False
Galleria,Bhubaneswar,"Hotel Swosti, Bhubaneswar",4.0,1600.0,Multicuisine,25,False,False
Cafe Sundowner,Bhubaneswar,"Laxmisagar, Bhubaneswar",4.0,800.0,Multicuisine,25,False,False
Xcuse Bar,Bhubaneswar,"Mango Hotels–Prangan, Bhubaneswar",3.9,1800.0,Multicuisine,10,False,False
Beyrut Classy Dine,Bhubaneswar,"Kharvela Nagar, Bhubaneswar",4.6,800.0,Lebanese,50,False,False
Narula's Restaurant,Bhubaneswar,"Hotel Basera,Ashok Nagar,Bhubaneswar",5.0,800.0,Multicuisine,10,False,False
Bar Bliss,Bhubaneswar,"The Adventure Luxury Hotels, Bhubaneswar",5.0,1700.0,"North Indian, Cocktail Menu, Desserts",15,False,False
Green garden,Bhubaneswar,"The Adventure Luxury Hotels, Bhubaneswar",5.0,1600.0,"Cocktail Menu, Multicuisine",20,False,False
Curry Bowl,Bhubaneswar,"The Adventure Luxury Hotels, Bhubaneswar",4.0,1800.0,Multicuisine,20,False,False
Pulp Cafe,Bhubaneswar,"Hotel Orange, Laxmisagar",4.0,1300.0,Multicuisine,20,False,False
Enigma - The Club Culture (HHI),Bhubaneswar,"Janpath Road, Bhubaneswar",4.0,1500.0,Multicuisine,15,False,False
Sip & Bite Restaurant,Bhubaneswar,"Hotel Miland Palace, Bhubaneswar",4.0,1000.0,Multicuisine,20,False,False
Chili's Grill & Bar,Bhubaneswar,"Rasulgarh, Bhubaneswar",4.6,1200.0,Multicuisine,10,False,False
Punjab Grill,Bhubaneswar,"Esplanade One Mall, Rasulgarh",4.5,1100.0,North Indian,50,False,False
Adda Unplugged,Bhubaneswar,"Satya Nagar, Bhubaneswar",4.0,900.0,Cafe,20,False,False
Mad Over Brownie,Bhubaneswar,"Kharvela Nagar, Bhubaneswar",4.0,600.0,Cafe,20,False,False
Confetti,Bhubaneswar,"Hotel New Marrion, Bhubaneswar",4.0,500.0,Bakery,25,False,False
Narula's Bakery,Bhubaneswar,"Hotel Basera,Ashok Nagar,Bhubaneswar",4.0,400.0,Bakery,25,False,False
Raasta,Bhubaneswar,"Laxmisagar, Bhubaneswar",3.5,1500.0,Multicuisine,25,False,False
Escalate Club & Lounge,Bhubaneswar,"Hotel Sun Green, Bhubaneswar",5.0,2100.0,Multicuisine,10,False,False
Saami,Bhubaneswar,"Madhusudan Nagar, Bhubaneswar",4.1,1600.0,Multicuisine,40,False,False
Silver Streak Premium,Bhubaneswar,"Shaheed Nagar, Bhubaneswar",4.9,1200.0,Multicuisine,10,False,False
Dil-E-Mughlai,Bhubaneswar,"Khandagiri, Bhubaneswar",4.4,800.0,"Chinese, Mughlai, North Indian",50,False,False
STARLIT - LOUNGE BAR & RESTAURANT,Bhubaneswar,"Satya Nagar, Bhubaneswar",5.0,1000.0,Cocktail Menu,20,False,False
VOX POP 2.0,Bhubaneswar,"Shaheed Nagar, Bhubaneswar",4.0,1000.0,Multicuisine,10,False,False
OOPRE - Kitchen & Bar,Bhubaneswar,"Chandrasekharpur, Bhubaneswar",3.0,1200.0,Multicuisine,20,False,False
Civilians,Bhubaneswar,"Satya Nagar, Bhubaneswar",4.3,1000.0,Multicuisine,20,False,False
Dyaus Court,Bhubaneswar,"Infocity Avenue, Bhubaneswar",4.0,900.0,Multicuisine,10,False,False
KEGS AND BARRELS BREWING CO.,Bhubaneswar,"Patia, Bhubaneswar",4.0,1500.0,Multicuisine,25,False,False
9th Street,Bhubaneswar,"UNIT- 9, Bhubaneswar",4.5,700.0,Multicuisine,20,False,False
Aawhan Restaurant,Bhubaneswar,"Laxmisagar, Bhubaneswar",2.0,800.0,Multicuisine,10,False,False
#BBi Booze Buzz Inhouse,Bhubaneswar,"Chandrasekharpur, Bhubaneswar",4.6,1200.0,Multicuisine,50,False,False
CAFE 16,Bhubaneswar,"Satya Nagar, Bhubaneswar",4.7,800.0,Cafe,20,False,False
Sweet Basil,Bhubaneswar,"Lyfe Hotel, Bhubaneswar",4.3,1800.0,Pan Asian,25,False,False
Aqua Bar & Pool Lounge,Bhubaneswar,"Satya Nagar, Bhubaneswar",5.0,1200.0,Multicuisine,25,False,False
Blinkk,Bhubaneswar,"Patia, Bhubaneswar",4.0,800.0,Multicuisine,10,False,False
Adda Cafe,Bhubaneswar,"Khandagiri, Bhubaneswar",4.7,900.0,Cafe,10,False,False
Lyfe Kitchen,Bhubaneswar,"Lyfe Hotel, Bhubaneswar",3.9,1600.0,Multicuisine,20,False,False
Mojo Bar,Bhubaneswar,"Lyfe Hotel, Bhubaneswar",4.0,1800.0,Cocktail Menu,25,False,False
Slounge,Bhubaneswar,"Lemon Tree Premier, Bhubaneswar",4.8,2500.0,"Finger Food, Cocktail Menu",25,False,False
Zero Degrees,Coimbatore,"Gokulam Park, Coimbatore",4.0,1400.0,Casual Eclectic,50,False,False
24x7 Bytes,Coimbatore,"Gokulam Park, Coimbatore",4.0,1200.0,Multicuisine,35,False,False
Hyyper Permit Room Bar,Coimbatore,"Hotel Kiscol Grands, Coimbatore",4.0,1000.0,"Finger Food, Cocktail Menu",20,False,False
Sazz Kitchen And Lounge,Coimbatore,"Ukkadam, Coimbatore",4.2,800.0,Mexican,200,False,False
Warehouse Bar & Kitchen,Coimbatore,"Kalapatti, Coimbatore",4.3,1200.0,Multicuisine,25,False,False
Neydhal The Coast,Coimbatore,"Avinashi Road, Coimbatore",4.0,1000.0,"Seafood, South Indian",10,False,False
The living Room,Coimbatore,"Peelamedu, Coimbatore",4.4,1200.0,Multicuisine,15,False,False
Little Soi,Coimbatore,"Pudur, Coimbatore",4.7,900.0,Pan Asian,10,False,False
Ammani Mess,Coimbatore,"Avinashi Road, Coimbatore",4.0,1200.0,Multicuisine,25,False,False
Cream Centre  - Vegetarian Legacy Since 1958,Coimbatore,"Race Course, Coimbatore",4.8,1000.0,Multicuisine,50,False,False
Barbeque Nation,Coimbatore,Coimbatore,4.7,2000.0,"Multicuisine, Barbeque",25,False,False
China Valley,Coimbatore,"Sungam, Coimbatore",4.0,800.0,Chinese,25,False,False
Ninhao Chinese Restaurant,Coimbatore,"Saibaba Colony, Coimbatore",4.5,800.0,"Chinese, Fast Food",15,False,False
AB's - Absolute Barbecues,Coimbatore,Coimbatore,4.3,1850.0,"Multicuisine, Barbeque",15,False,False
On The Rocks Restobar,Coimbatore,"Vilankurichi, Coimbatore",5.0,950.0,"Finger Food, Cocktail Menu",25,False,False
Rasanai,Coimbatore,"Pappanaickenpalayam, Coimbatore",4.5,800.0,South Indian,20,False,False
Lord of The Drinks,Coimbatore,"Peelamedu, Coimbatore",3.9,1500.0,Multicuisine,25,False,False
The Crimson by Broadway,Coimbatore,"Indira Nagar, Coimbatore, Coimbatore",5.0,1000.0,"Italian, South Indian",10,False,False
Chives,Coimbatore,"Siddhapudur, Coimbatore",4.9,1000.0,Multicuisine,50,False,False
The Great Kebab Factory,Coimbatore,"Peelamedu, Coimbatore",4.0,1500.0,Indian,25,False,False
Spice It,Coimbatore,"Ibis Coimbatore City Centre, Coimbatore",3.5,950.0,"Cocktail Menu, Multicuisine",20,False,False
Beyond The Stories Bistro & Bar,Coimbatore,"Saibaba Colony, Coimbatore",4.3,1500.0,"Finger Food, Cocktail Menu",50,False,False
Tapriwala - The Contemporary Tea Cafe,Coimbatore,"Saibaba Colony, Coimbatore",4.5,400.0,"Fast Food, Multicuisine",10,False,False
Seasons,Coimbatore,Radisson Blu Coimbatore,4.1,2000.0,Multicuisine,10,False,False
Hide in Heaven,Coimbatore,"Saravanampatti, Coimbatore",4.6,1500.0,"Finger Food, Cocktail Menu",20,False,False
Wah Wah,Coimbatore,"Saibaba Colony, Coimbatore",5.0,1000.0,Asian,25,False,False
MUFASA COIMBATORE,Coimbatore,"Avinashi Road, Coimbatore",4.1,1000.0,Multicuisine,25,False,False
The bermuda- A Cocktail Commune,Coimbatore,"R.S. Puram, Coimbatore",4.0,1200.0,Indian,50,False,False
Vap Club,Coimbatore,"Pappanaickenpalayam, Coimbatore",4.0,1200.0,"Finger Food, Cocktail Menu",25,False,False
Latest Recipe,Coimbatore,Le Méridien Coimbatore,4.1,2000.0,Multicuisine,20,False,False
Big Ben Bar,Coimbatore,"Gandhipuram, Coimbatore",4.0,1000.0,Indian,15,False,False
Welcomcafe Kovai,Coimbatore,"Welcomhotel By ITC Hotels, Coimbatore",4.5,2200.0,Multicuisine,15,False,False
Eat Alley Cafe,Coimbatore,"Saibaba Colony, Coimbatore",4.7,500.0,"Italian, Street Food",10,False,False
Harusaki Coffee,Coimbatore,"Peelamedu, Coimbatore",4.0,700.0,"Beverages, Coffee",25,False,False
Kaanchan Kitchen,Coimbatore,"R.S. Puram, Coimbatore",4.0,500.0,Indian,25,False,False
Kanakthara Restaurant,Coimbatore,"Ganapathy, Coimbatore",4.0,1000.0,Indian,10,False,False
Nosh Up Cafe,Coimbatore,"Saibaba Colony, Coimbatore",4.0,400.0,"Asian, Cafe, Continental",50,False,False
Ganga Cafe - Darza Resorts,Coimbatore,"Darza Luxury Resorts, Coimbatore",4.0,1500.0,Indian,10,False,False
Cafe D,Coimbatore,"Windstone Residency, Peelamedu",4.0,500.0,"Italian, Continental",10,False,False
Indchicoo,Coimbatore,"POPPYS TOWER, Coimbatore",4.4,800.0,"Chinese, Indian, Continental",10,False,False
Woow Briyani,Coimbatore,"Ganapathy, Coimbatore",4.0,300.0,Biryani,10,False,False
Dindigul Thalappakatti,Coimbatore,"Neelambur, Coimbatore",5.0,950.0,Biryani,25,False,False
Liyaqat,Coimbatore,"Singanallur, Coimbatore",5.0,700.0,Fast Food,25,False,False
Longitude- Le Meridien,Coimbatore,Le Méridien Coimbatore,5.0,1200.0,Cafe,25,False,False
That's Y Food,Coimbatore,"R.S. Puram, Coimbatore",4.3,800.0,Multicuisine,15,False,False
Raasta,Ludhiana,"Model Town, Ludhiana",4.0,1400.0,"Continental, Chinese, Italian",50,False,False
Aamrak,Ludhiana,"Pakhowal Road, Ludhiana",4.0,1000.0,Multicuisine,35,False,False
Cafe Delish,Ludhiana,Radisson Blu Hotel Ludhiana,4.8,3000.0,Multicuisine,25,False,False
.Peg Bar,Ludhiana,Radisson Blu Hotel Ludhiana,4.0,3000.0,Multicuisine,30,False,False
Under The Mango Tree,Ludhiana,"Civil Lines, Ludhiana",4.7,1600.0,Multicuisine,50,False,False
Barn Fox,Ludhiana,"Civil Lines, Ludhiana",5.0,2000.0,Multicuisine,15,False,False
R Feastory,Ludhiana,Ludhiana,4.0,800.0,"Italian, Indian",20,False,False
10 Dur’s Premium,Ludhiana,"Civil Lines, Ludhiana",4.0,1000.0,Multicuisine,15,False,False
The Cat Caffe & Restaurant,Ludhiana,"Civil Lines, Ludhiana",4.0,1000.0,Italian,10,False,False
The Coffee Bean & Tea Leaf,Ludhiana,"Pavilion Mall, Civil Lines",4.0,1000.0,Coffee,50,False,False
Tokkyoi  Club & Lounge,Ludhiana,"Pavilion Mall, Civil Lines",3.4,1800.0,Multicuisine,10,False,False
Cafe Culture,Ludhiana,"Civil Street, Ludhiana",4.0,1000.0,"Italian, Mexican",15,False,False
PVR,Ludhiana,"Pavilion Mall, Civil Lines",4.0,500.0,Fast Food,15,False,False
Hot Breads,Ludhiana,"Sarabha Nagar, Ludhiana",4.3,1000.0,Multicuisine,25,False,False
The Brew Estate,Ludhiana,Ludhiana,4.4,2000.0,Multicuisine,25,False,False
Belfrance Bakers & Chocolatiers Cafe,Ludhiana,"Sarabha Nagar, Ludhiana",4.7,1500.0,Bakery,20,False,False
Barbeque Nation,Ludhiana,Ludhiana,4.6,1800.0,"Multicuisine, Barbeque",25,False,False
Barista Coffee,Ludhiana,"Model Town, Ludhiana",4.0,400.0,"Cafe, Coffee",25,False,False
The Yellow Chilli,Ludhiana,"Sarabha Nagar, Ludhiana",4.5,1500.0,Multicuisine,50,False,False
Over The Moon,Ludhiana,The Palm Court,4.0,1500.0,Multicuisine,20,False,False
Club Aqua,Ludhiana,"Canal Road, Ludhiana",5.0,1000.0,Multicuisine,20,False,False
Xero Courtyard,Ludhiana,"Aggar Nagar, Ludhiana",4.0,800.0,Multicuisine,40,False,False
Khadak Singh Da Dhaba,Ludhiana,"Gurdev Nagar, Ludhiana",4.9,1000.0,North Indian,40,False,False
